level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,level 9,level 10,level 11
Solar system astronomy,Solar system,Natural satellites (Solar system),Martian satellites,,,,,,,
Solar system astronomy,Solar system,Natural satellites (Solar system),Neptunian satellites,Triton,,,,,,
Solar system astronomy,Solar system,Natural satellites (Solar system),Neptunian satellites,,,,,,,
Solar system astronomy,Solar system,Natural satellites (Solar system),Plutonian satellites,,,,,,,
Solar system astronomy,Solar system,Natural satellites (Solar system),Saturnian satellites,Titan,,,,,,
Solar system astronomy,Solar system,Natural satellites (Solar system),Saturnian satellites,,,,,,,
Solar system astronomy,Solar system,Natural satellites (Solar system),The Moon,,,,,,,
Solar system astronomy,Solar system,Natural satellites (Solar system),Uranian satellites,,,,,,,
Solar system astronomy,Solar system,Natural satellites (Solar system),,,,,,,,
Solar system astronomy,Solar system,Oort cloud,Oort cloud objects,,,,,,,
Solar system astronomy,Solar system,Oort cloud,,,,,,,,
Solar system astronomy,Solar system,Planetary rings,Ansae,,,,,,,
Solar system astronomy,Solar system,Planetary rings,Planetary ring divisions,,,,,,,
Solar system astronomy,Solar system,Planetary rings,Shepherd satellites,,,,,,,
