term,definition,type,occurrences
heliopause,"The edge of the solar system where the pressure of the solar wind balances that of the interstellar medium plasma. In other words, the surface boundary that separates the heliosphere from interstellar space. It is estimated to be situated 100 astronomical units or more from the Sun. A bow shock likely forms as the interstellar medium wind approaches the heliosphere and is deflected around the heliosphere, forcing it into a teardrop-shaped structure with a long, comet-like tail.",Unified Astronomy Thesaurus (UAT).json,6
planetesimals,,Unified Astronomy Thesaurus (UAT).json,6
planetesimals,,Unified Astronomy Thesaurus (UAT).json,6
planetesimals,,Unified Astronomy Thesaurus (UAT).json,6
quasar-galaxy pairs,,Unified Astronomy Thesaurus (UAT).json,6
wz sagittae stars,"A subclass of dwarf novae with an extremely long outburst period, comparable with that of a recurrent nova.",Unified Astronomy Thesaurus (UAT).json,6
symbiotic novae,,Unified Astronomy Thesaurus (UAT).json,6
am stars,"A chemically peculiar A- or early F-type star showing an overabundance of heavy elements and an underabundance of calcium and scandium. An Am star cannot receive a unique spectral type, as different methods (using the metallic lines, the hydrogen Balmer lines, and the calcium Ca II K-lines) yield three different spectral types. Contrarily to Ap stars, Am stars do not have significant external magnetic fields. Their rotational velocities are about 100-120 km s-1 smaller than those of Ap stars.",Unified Astronomy Thesaurus (UAT).json,6
s stars,A red giant of spectral type S whose spectrum is dominated by molecular bands arising from zirconium oxide (ZrO). S stars also have strong cyanogen bands and contain spectral lines of lithium and technetium. Almost all S stars are long-period variables.,Unified Astronomy Thesaurus (UAT).json,6
am stars,"A chemically peculiar A- or early F-type star showing an overabundance of heavy elements and an underabundance of calcium and scandium. An Am star cannot receive a unique spectral type, as different methods (using the metallic lines, the hydrogen Balmer lines, and the calcium Ca II K-lines) yield three different spectral types. Contrarily to Ap stars, Am stars do not have significant external magnetic fields. Their rotational velocities are about 100-120 km s-1 smaller than those of Ap stars.",Unified Astronomy Thesaurus (UAT).json,6
am stars,"A chemically peculiar A- or early F-type star showing an overabundance of heavy elements and an underabundance of calcium and scandium. An Am star cannot receive a unique spectral type, as different methods (using the metallic lines, the hydrogen Balmer lines, and the calcium Ca II K-lines) yield three different spectral types. Contrarily to Ap stars, Am stars do not have significant external magnetic fields. Their rotational velocities are about 100-120 km s-1 smaller than those of Ap stars.",Unified Astronomy Thesaurus (UAT).json,6
am stars,"A chemically peculiar A- or early F-type star showing an overabundance of heavy elements and an underabundance of calcium and scandium. An Am star cannot receive a unique spectral type, as different methods (using the metallic lines, the hydrogen Balmer lines, and the calcium Ca II K-lines) yield three different spectral types. Contrarily to Ap stars, Am stars do not have significant external magnetic fields. Their rotational velocities are about 100-120 km s-1 smaller than those of Ap stars.",Unified Astronomy Thesaurus (UAT).json,6
lambda eridani stars,,Unified Astronomy Thesaurus (UAT).json,6
lambda eridani stars,,Unified Astronomy Thesaurus (UAT).json,6
lambda eridani stars,,Unified Astronomy Thesaurus (UAT).json,6
lambda eridani stars,,Unified Astronomy Thesaurus (UAT).json,6
mira variable stars,,Unified Astronomy Thesaurus (UAT).json,6
symbiotic novae,,Unified Astronomy Thesaurus (UAT).json,6
t tauri stars,A member of a class of young stellar objects of roughly 1 solar mass showing strong infrared excess emission attributed to circumstellar disks and found within or close to molecular clouds. T Tauri stars are protostars in the final stages of formation to become a stable main sequence star. The nuclear reactions in their core have not yet stabilized and the stars are known for the variability of their brightness.,Unified Astronomy Thesaurus (UAT).json,6
classical t tauri stars,A T Tauri star in which accretion from a circumstellar disk is responsible for ultraviolet and infrared excess emission and for a moderate to strong emission line spectrum superimposed on the photospheric spectrum. Classical T Tauri stars probably evolve into weak-line T Tauri stars when their disks are fully accreted by the stars.,Unified Astronomy Thesaurus (UAT).json,6
weak-line t tauri stars,"A T Tauri star that lacks strong emission lines in its optical spectrum, and lacks both strong stellar wind and infrared excess. These objects are believed to be pre-main sequence stars without obvious signs for disk accretion. Weak-line T Tauri stars result from the evolution of classical T Tauri stars.",Unified Astronomy Thesaurus (UAT).json,6
s stars,A red giant of spectral type S whose spectrum is dominated by molecular bands arising from zirconium oxide (ZrO). S stars also have strong cyanogen bands and contain spectral lines of lithium and technetium. Almost all S stars are long-period variables.,Unified Astronomy Thesaurus (UAT).json,6
t tauri stars,A member of a class of young stellar objects of roughly 1 solar mass showing strong infrared excess emission attributed to circumstellar disks and found within or close to molecular clouds. T Tauri stars are protostars in the final stages of formation to become a stable main sequence star. The nuclear reactions in their core have not yet stabilized and the stars are known for the variability of their brightness.,Unified Astronomy Thesaurus (UAT).json,6
classical t tauri stars,A T Tauri star in which accretion from a circumstellar disk is responsible for ultraviolet and infrared excess emission and for a moderate to strong emission line spectrum superimposed on the photospheric spectrum. Classical T Tauri stars probably evolve into weak-line T Tauri stars when their disks are fully accreted by the stars.,Unified Astronomy Thesaurus (UAT).json,6
weak-line t tauri stars,"A T Tauri star that lacks strong emission lines in its optical spectrum, and lacks both strong stellar wind and infrared excess. These objects are believed to be pre-main sequence stars without obvious signs for disk accretion. Weak-line T Tauri stars result from the evolution of classical T Tauri stars.",Unified Astronomy Thesaurus (UAT).json,6
mira variable stars,,Unified Astronomy Thesaurus (UAT).json,6
s stars,A red giant of spectral type S whose spectrum is dominated by molecular bands arising from zirconium oxide (ZrO). S stars also have strong cyanogen bands and contain spectral lines of lithium and technetium. Almost all S stars are long-period variables.,Unified Astronomy Thesaurus (UAT).json,6
wz sagittae stars,"A subclass of dwarf novae with an extremely long outburst period, comparable with that of a recurrent nova.",Unified Astronomy Thesaurus (UAT).json,6
symbiotic novae,,Unified Astronomy Thesaurus (UAT).json,6
wz sagittae stars,"A subclass of dwarf novae with an extremely long outburst period, comparable with that of a recurrent nova.",Unified Astronomy Thesaurus (UAT).json,6
symbiotic novae,,Unified Astronomy Thesaurus (UAT).json,6
wz sagittae stars,"A subclass of dwarf novae with an extremely long outburst period, comparable with that of a recurrent nova.",Unified Astronomy Thesaurus (UAT).json,6
symbiotic novae,,Unified Astronomy Thesaurus (UAT).json,6
planetesimals,,Unified Astronomy Thesaurus (UAT).json,6
t tauri stars,A member of a class of young stellar objects of roughly 1 solar mass showing strong infrared excess emission attributed to circumstellar disks and found within or close to molecular clouds. T Tauri stars are protostars in the final stages of formation to become a stable main sequence star. The nuclear reactions in their core have not yet stabilized and the stars are known for the variability of their brightness.,Unified Astronomy Thesaurus (UAT).json,6
classical t tauri stars,A T Tauri star in which accretion from a circumstellar disk is responsible for ultraviolet and infrared excess emission and for a moderate to strong emission line spectrum superimposed on the photospheric spectrum. Classical T Tauri stars probably evolve into weak-line T Tauri stars when their disks are fully accreted by the stars.,Unified Astronomy Thesaurus (UAT).json,6
weak-line t tauri stars,"A T Tauri star that lacks strong emission lines in its optical spectrum, and lacks both strong stellar wind and infrared excess. These objects are believed to be pre-main sequence stars without obvious signs for disk accretion. Weak-line T Tauri stars result from the evolution of classical T Tauri stars.",Unified Astronomy Thesaurus (UAT).json,6
