subject_id,predicate_id,object_id,mapping_justification,confidence,term
AGU Index Terms:chromosphere,skos:exactMatch,HELIO Ontology:chromosphere,lexical_identity_same_normalized_term,0.6,chromosphere
AGU Index Terms:chromosphere,skos:exactMatch,NASA CCMC:chromosphere,lexical_identity_same_normalized_term,0.6,chromosphere
AGU Index Terms:chromosphere,skos:exactMatch,NASA Heliophysics Vocabulary:chromosphere,lexical_identity_same_normalized_term,0.6,chromosphere
AGU Index Terms:chromosphere,skos:exactMatch,SPASE Dictionary:chromosphere,lexical_identity_same_normalized_term,0.6,chromosphere
AGU Index Terms:chromosphere,skos:exactMatch,Space Weather Glossary:chromosphere,lexical_identity_same_normalized_term,0.6,chromosphere
AGU Index Terms:chromosphere,skos:exactMatch,Space Weather Glossary (Second):chromosphere,lexical_identity_same_normalized_term,0.6,chromosphere
HELIO Ontology:chromosphere,skos:exactMatch,NASA CCMC:chromosphere,lexical_identity_same_normalized_term,0.6,chromosphere
HELIO Ontology:chromosphere,skos:exactMatch,NASA Heliophysics Vocabulary:chromosphere,lexical_identity_same_normalized_term,0.6,chromosphere
HELIO Ontology:chromosphere,skos:exactMatch,SPASE Dictionary:chromosphere,lexical_identity_same_normalized_term,0.6,chromosphere
HELIO Ontology:chromosphere,skos:exactMatch,Space Weather Glossary:chromosphere,lexical_identity_same_normalized_term,0.6,chromosphere
HELIO Ontology:chromosphere,skos:exactMatch,Space Weather Glossary (Second):chromosphere,lexical_identity_same_normalized_term,0.6,chromosphere
NASA CCMC:chromosphere,skos:exactMatch,NASA Heliophysics Vocabulary:chromosphere,lexical_identity_same_normalized_term,0.6,chromosphere
NASA CCMC:chromosphere,skos:exactMatch,SPASE Dictionary:chromosphere,lexical_identity_same_normalized_term,0.6,chromosphere
NASA CCMC:chromosphere,skos:exactMatch,Space Weather Glossary:chromosphere,lexical_identity_same_normalized_term,0.6,chromosphere
NASA CCMC:chromosphere,skos:exactMatch,Space Weather Glossary (Second):chromosphere,lexical_identity_same_normalized_term,0.6,chromosphere
NASA Heliophysics Vocabulary:chromosphere,skos:exactMatch,SPASE Dictionary:chromosphere,lexical_identity_same_normalized_term,0.6,chromosphere
NASA Heliophysics Vocabulary:chromosphere,skos:exactMatch,Space Weather Glossary:chromosphere,lexical_identity_same_normalized_term,0.6,chromosphere
NASA Heliophysics Vocabulary:chromosphere,skos:exactMatch,Space Weather Glossary (Second):chromosphere,lexical_identity_same_normalized_term,0.6,chromosphere
SPASE Dictionary:chromosphere,skos:exactMatch,Space Weather Glossary:chromosphere,lexical_identity_same_normalized_term,0.6,chromosphere
SPASE Dictionary:chromosphere,skos:exactMatch,Space Weather Glossary (Second):chromosphere,lexical_identity_same_normalized_term,0.6,chromosphere
Space Weather Glossary:chromosphere,skos:exactMatch,Space Weather Glossary (Second):chromosphere,lexical_identity_same_normalized_term,0.6,chromosphere
GCMD:classification,skos:exactMatch,GEMET:classification,lexical_identity_same_normalized_term,0.6,classification
AGU Index Terms:climatology,skos:exactMatch,GEMET:climatology,lexical_identity_same_normalized_term,0.6,climatology
HELIO Ontology:cme,skos:exactMatch,NASA CCMC:cme,lexical_identity_same_normalized_term,0.6,cme
HELIO Ontology:cme,skos:exactMatch,SWEET:cme,lexical_identity_same_normalized_term,0.6,cme
NASA CCMC:cme,skos:exactMatch,SWEET:cme,lexical_identity_same_normalized_term,0.6,cme
HELIO Ontology:co investigator,skos:exactMatch,SPASE Dictionary:co investigator,lexical_identity_same_normalized_term,0.6,co investigator
GCMD:coal,skos:exactMatch,GEMET:coal,lexical_identity_same_normalized_term,0.6,coal
AGU Index Terms:coastal processes,skos:exactMatch,GCMD:coastal processes,lexical_identity_same_normalized_term,0.6,coastal processes
SPASE Dictionary:comet,skos:exactMatch,SWEET:comet,lexical_identity_same_normalized_term,0.6,comet
AGU Index Terms:composition,skos:exactMatch,HELIO Ontology:composition,lexical_identity_same_normalized_term,0.6,composition
GEMET:compression,skos:exactMatch,SWEET:compression,lexical_identity_same_normalized_term,0.6,compression
GCMD:conduction,skos:exactMatch,SWEET:conduction,lexical_identity_same_normalized_term,0.6,conduction
GCMD:conductivity,skos:exactMatch,GEMET:conductivity,lexical_identity_same_normalized_term,0.6,conductivity
GCMD:conservation,skos:exactMatch,GEMET:conservation,lexical_identity_same_normalized_term,0.6,conservation
AGU Index Terms:contaminants,skos:exactMatch,GCMD:contaminants,lexical_identity_same_normalized_term,0.6,contaminants
HELIO Ontology:contributor,skos:exactMatch,SPASE Dictionary:contributor,lexical_identity_same_normalized_term,0.6,contributor
AGU Index Terms:control surveys,skos:exactMatch,GCMD:control surveys,lexical_identity_same_normalized_term,0.6,control surveys
GCMD:convection,skos:exactMatch,Space Weather Glossary:convection,lexical_identity_same_normalized_term,0.6,convection
GEMET:convention,skos:exactMatch,SPASE Dictionary:convention,lexical_identity_same_normalized_term,0.6,convention
GEMET:cooling,skos:exactMatch,SWEET:cooling,lexical_identity_same_normalized_term,0.6,cooling
HELIO Ontology:coordinate system,skos:exactMatch,SPASE Dictionary:coordinate system,lexical_identity_same_normalized_term,0.6,coordinate system
GCMD:copper,skos:exactMatch,GEMET:copper,lexical_identity_same_normalized_term,0.6,copper
GCMD:coral reef,skos:exactMatch,GEMET:coral reef,lexical_identity_same_normalized_term,0.6,coral reef
AGU Index Terms:core,skos:exactMatch,HELIO Ontology:core,lexical_identity_same_normalized_term,0.6,core
AGU Index Terms:core,skos:exactMatch,SPASE Dictionary:core,lexical_identity_same_normalized_term,0.6,core
HELIO Ontology:core,skos:exactMatch,SPASE Dictionary:core,lexical_identity_same_normalized_term,0.6,core
AGU Index Terms:core processes,skos:exactMatch,GCMD:core processes,lexical_identity_same_normalized_term,0.6,core processes
AGU Index Terms:corona,skos:exactMatch,GCMD:corona,lexical_identity_same_normalized_term,0.6,corona
AGU Index Terms:corona,skos:exactMatch,HELIO Ontology:corona,lexical_identity_same_normalized_term,0.6,corona
AGU Index Terms:corona,skos:exactMatch,NASA Heliophysics Vocabulary:corona,lexical_identity_same_normalized_term,0.6,corona
AGU Index Terms:corona,skos:exactMatch,SPASE Dictionary:corona,lexical_identity_same_normalized_term,0.6,corona
AGU Index Terms:corona,skos:exactMatch,SWEET:corona,lexical_identity_same_normalized_term,0.6,corona
AGU Index Terms:corona,skos:exactMatch,Space Weather Glossary:corona,lexical_identity_same_normalized_term,0.6,corona
AGU Index Terms:corona,skos:exactMatch,Space Weather Glossary (Second):corona,lexical_identity_same_normalized_term,0.6,corona
GCMD:corona,skos:exactMatch,HELIO Ontology:corona,lexical_identity_same_normalized_term,0.6,corona
GCMD:corona,skos:exactMatch,NASA Heliophysics Vocabulary:corona,lexical_identity_same_normalized_term,0.6,corona
GCMD:corona,skos:exactMatch,SPASE Dictionary:corona,lexical_identity_same_normalized_term,0.6,corona
GCMD:corona,skos:exactMatch,SWEET:corona,lexical_identity_same_normalized_term,0.6,corona
GCMD:corona,skos:exactMatch,Space Weather Glossary:corona,lexical_identity_same_normalized_term,0.6,corona
GCMD:corona,skos:exactMatch,Space Weather Glossary (Second):corona,lexical_identity_same_normalized_term,0.6,corona
HELIO Ontology:corona,skos:exactMatch,NASA Heliophysics Vocabulary:corona,lexical_identity_same_normalized_term,0.6,corona
HELIO Ontology:corona,skos:exactMatch,SPASE Dictionary:corona,lexical_identity_same_normalized_term,0.6,corona
